codigo_municipio_dv,uf,municipio,evento,ano,mes,agente,arma,faixa_etaria,feminino,masculino,nao_informado,total,total_peso,abrangencia,formulario,total_vitimas
5203203,GO,BARRO ALTO,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,ÁGUAS CLARAS,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,ARNIQUEIRA,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,BRASÍLIA/PLANO PILOTO,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,BRAZLÂNDIA,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,CANDANGOLÂNDIA,Feminicídio,2020,01,,,,1.0,0.0,0.0,,,Estadual,Formulário 1,1.0
5300108,DF,CEILÂNDIA,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,FERCAL,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,GAMA,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,ITAPOÃ,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,JARDIM BOTÂNICO,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,LAGO NORTE,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,LAGO SUL,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,NÚCLEO BANDEIRANTE,Feminicídio,2020,01,,,,1.0,0.0,0.0,,,Estadual,Formulário 1,1.0
5300108,DF,PARANOÁ,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,PARK WAY,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5217609,DF,PLANALTINA,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,RECANTO DAS EMAS,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,RIACHO FUNDO,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,RIACHO FUNDO II,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
5300108,DF,SAMAMBAIA,Feminicídio,2020,01,,,,2.0,0.0,0.0,,,Estadual,Formulário 1,2.0
5300108,DF,SCIA,Feminicídio,2020,01,,,,0.0,0.0,0.0,,,Estadual,Formulário 1,0.0
